来源文件：/Users/xiaodi/Desktop/xingrun.web/review_plan_templates/pdf_output/万象三路 9.m4a
识别语言：zh
语言概率：1

[00:00 - 00:02] 好 随头
[00:02 - 00:05] 我们要用那个挑剪
[13:26 - 13:30] 接下来是用主院室的
[13:30 - 13:32] 死狼狐大
[13:32 - 13:35] 地区房、地区里面
[13:35 - 13:37] 狼狐大房、狼狐大房
[13:37 - 13:40] 好多死路狼狐大房
[13:40 - 13:42] 是坚持
[13:42 - 13:44] 坚持
[13:44 - 13:45] 而死死
[13:45 - 13:46] 好多
[13:46 - 13:50] 坚持
[13:50 - 13:51] 而死吧
[13:51 - 13:53] 狼狐大
[13:53 - 13:55] 对吧
[13:55 - 13:57] 死而
[13:57 - 14:00] 加一四路
[14:00 - 14:02] 路浪不打防
[14:02 - 14:04] 尖二十八浪不打
[14:04 - 14:05] 加一四路
[14:05 - 14:07] 丁丁
[14:07 - 14:09] 三浪不打防
[14:09 - 14:10] 尖一十四浪不打
[14:10 - 14:12] 加八
[14:12 - 14:13] 丁丁
[14:13 - 14:15] 三浪不打
[14:15 - 14:16] 浪不打
[14:16 - 14:18] 十
[14:18 - 14:20] 你算是出乎了
[14:20 - 14:22] 算是出乎了
[14:22 - 14:24] 当然出乎了
[14:24 - 14:25] 大分的乎了
[14:25 - 14:26] 完全不一样
[14:26 - 14:36] 那一招要把他打完
[14:36 - 14:37] 别说打完话 竟然说是三达嘛
[14:37 - 14:39] 打房间 把他打间杀
[14:39 - 14:43] 不是 他有个打女儿
[14:43 - 14:46] 他有个人是谁有问题的
[14:46 - 14:48] 他离B是谁
[14:48 - 14:51] 离B是谁
[14:51 - 14:56] 因为我用了AI选择出来的
[14:56 - 14:58] 他公正会有人问题
[14:58 - 15:00] AI选择出来的
[15:00 - 15:02] 你看是不是结出来人
[15:02 - 15:04] AI选的出来是对的
[15:04 - 15:06] 对啊,肯定帅得帅啊
[15:06 - 15:08] 来,你说别说算错误
[15:08 - 15:10] 来,首先我一个问题让他们对死
[15:10 - 15:12] 不喝了吗?
[15:12 - 15:13] 他必须要在哪儿
[15:14 - 15:16] 他在哪个不给人
[15:16 - 15:18] 对啊,比比赏
[15:18 - 15:20] 比比赏,他必须要义
[15:20 - 15:21] 对,比比赏
[15:21 - 15:23] 还比个帅对,来,一定是比个帅错了
[15:23 - 15:26] 我,我,我,我,你帅的发病打得帅不一啊
[15:26 - 15:28] 我是糖,或者是东西啊
[15:28 - 15:30] 好,对,一定是帅错
[15:30 - 15:32] 嗯,你帅上走
[15:32 - 15:33] 哈喽哈
[15:33 - 15:35] 是不是我们的大优积极的心呢
[15:36 - 15:38] 大眼睛是我们的看好了
[15:38 - 15:41] BF我这个狼独的B
[15:41 - 15:42] D也狼独的是不是
[15:42 - 15:43] 找FD
[15:43 - 15:44] FD就来搞
[15:44 - 15:47] FD又出来FD的是三分之二
[15:47 - 15:48] 到
[15:49 - 15:51] 老跟谁
[15:51 - 15:53] 老跟谁
[15:55 - 15:56] 这是三分之
[15:57 - 15:59] 三分之十百
[15:59 - 15:59] 对不对
[15:59 - 16:01] 这是三分之五百
[16:01 - 16:03] 那是不是三分之二倍刚好三
[16:05 - 16:05] 哎
[16:05 - 16:08] 那这个试试三分之二倍刚好三
[16:08 - 16:09] 既然不上党
[16:10 - 16:11] 哎但是
[16:11 - 16:11] 看中央的啊
[16:11 - 16:13] F电视对一调
[16:13 - 16:15] 我跟教科中学学院的有问题啊
[16:16 - 16:17] 好
[16:17 - 16:18] 然后好
[16:18 - 16:19] 继续
[16:19 - 16:21] 你跟党甩内不一样
[16:21 - 16:22] 防化不一样
[16:22 - 16:23] 好
[16:23 - 16:24] 就是学院有一次
[16:24 - 16:26] 一个甩内还是两个一样
[16:26 - 16:27] 好
[16:27 - 16:28] 然后
[16:28 - 16:29] F不是不会出机会
[16:29 - 16:32] DNAF到平民局列
[16:32 - 16:33] 看到了
[16:33 - 16:37] LNAF到平民局列
[16:37 - 16:39] 我叫LNAF到平民局列
[16:39 - 16:40] Konna爽
[16:40 - 16:41] Gonce
[16:41 - 16:42] Gonce
[16:42 - 16:43] Gonce
[16:43 - 16:45] LNAF到平民局列
[16:45 - 16:48] LNAF到平民局列
[16:48 - 16:49] 你是不是我只能做出
[16:49 - 16:51] 你找不到那個吹一切
[16:51 - 16:51] LNAF到平民局列
[16:51 - 16:54] LNAF到平民局列
[16:54 - 16:55] LNAF到平民局列
[16:55 - 16:57] LNAF到平民局列
[16:57 - 16:58] Konna爽
[16:58 - 16:59] LNAF到平民局列
[16:59 - 17:00] 我睡一邊找一點
[17:01 - 17:02] 會找來一點
[17:02 - 17:03] OK
[17:04 - 17:05] 你先
[17:06 - 17:08] 拿食不食的卡我連結
[17:08 - 17:09] OK
[17:10 - 17:11] 然後我可以選擇
[17:11 - 17:12] 過渡
[17:12 - 17:14] 我可以選哪個挑汁血
[17:14 - 17:16] 跟哪個平面量的
[17:16 - 17:18] 加狗對不對
[17:18 - 17:19] 我加狗連上的這
[17:21 - 17:22] 撒嬰子
[17:23 - 17:25] 是不是都是我的會全球又高了
[17:26 - 17:27] 連結帽
[17:27 - 17:29] 把所有的东西划算
[17:31 - 17:32] 也有一个试验
[17:33 - 17:34] 一个例子没有试试
[17:35 - 17:36] ok
[17:36 - 17:38] F的试一边找了点
[17:38 - 17:39] 找到一个点
[17:39 - 17:40] 看你找铁试点
[17:40 - 17:41] 那你接着
[17:42 - 17:43] 老毛
[17:43 - 17:45] 你看我试试过讲过
[17:45 - 17:46] 试了一个假过试的了
[17:46 - 17:47] 不是公布力啊
[17:47 - 17:48] 这个假过试试过了
[17:49 - 17:52] 那是不是Core3A3A1比我FA吗
[17:53 - 17:55] Core3A3A1A1A
[17:55 - 17:58] 是不是對於我的搞到F之中出來
[17:58 - 17:59] 根本不需要找走的
[17:59 - 18:01] 你會理解其他
[18:01 - 18:02] 那你覺得
[18:02 - 18:03] 說一
[18:03 - 18:04] 兩個主法
[18:04 - 18:05] 第一個主法
[18:05 - 18:08] F到
[18:08 - 18:09] D
[18:09 - 18:11] E
[18:11 - 18:12] 你覺得
[18:12 - 18:14] D你不確定找到D
[18:14 - 18:15] 看不出來
[18:15 - 18:17] 但是我F也想要的
[18:17 - 18:18] 那我隨便找一個D
[18:18 - 18:19] 你用來一個寫
[18:19 - 18:20] 一個寫
[18:20 - 18:21] 每個年上面屬於這個D假
[18:21 - 18:22] 是不是
[18:22 - 18:23] D
[18:23 - 18:24] 身上沒有屬於這個D
[18:24 - 18:25] 我們屬於這個D假
[18:25 - 18:26] 我觉得一点啥而已吗
[18:27 - 18:28] 是第一点
[18:29 - 18:30] 第一声啥
[18:32 - 18:33] 是上面第一点
[18:33 - 18:34] 一定是你第一声
[18:34 - 18:35] 对不对
[18:35 - 18:36] 所以你公开
[18:38 - 18:40] 那么我们选择都变成了
[18:41 - 18:42] 要求
[18:43 - 18:44] EF
[18:47 - 18:49] 要求EF
[18:51 - 18:52] 越
[18:53 - 18:54] 欣灭
[18:55 - 18:57] 第一声离还在
[18:58 - 19:00] 加多都可以了
[19:00 - 19:02] 那男孩去我是不是第一生在
[19:03 - 19:04] 发现了
[19:04 - 19:06] 所有挑战群都有力
[19:06 - 19:08] 所以说我们完全
[19:08 - 19:09] 很确快
[19:09 - 19:11] 你声音跟我说
[19:11 - 19:13] 声音的左手
[19:13 - 19:17] 左手左手
[19:17 - 19:18] 左手左手左手
[19:18 - 19:19] 左手左手
[19:19 - 19:20] 左手左手
[19:20 - 19:21] 右手左手
[19:21 - 19:23] 右手左手
[19:23 - 19:25] 右手左手左手
[19:25 - 19:27] 左手左手左手
[19:27 - 19:29] 右手左手左手
[19:29 - 19:32] 福亦都等二三等你
[19:32 - 19:34] 妈妈来妈
[19:34 - 19:35] 来来第一声
[19:35 - 19:36] 发生那一声要找我
[19:36 - 19:37] 因为怎么在这
[19:37 - 19:39] 我都只需要一声
[19:39 - 19:40] 哦一一都是呢
[19:40 - 19:41] 哎呦 这在
[19:41 - 19:43] 那都是声音超两点
[19:43 - 19:44] 福亦等二三
[19:44 - 19:46] 你福亦等二三
[19:46 - 19:48] 你第一声等你
[19:48 - 19:51] 一一一一一一
[19:51 - 19:51] 等二三
[19:51 - 19:52] 插头
[19:52 - 19:53] 取卖
[19:53 - 19:54] 那时候到
[19:54 - 19:55] 三
[19:55 - 19:56] 那时候到
[19:56 - 19:59] 等二三
[19:59 - 20:03] 那時候我跟阿嬤出一個歌
[20:03 - 20:08] 跟阿嬤跟阿嬤的一頭負
[20:08 - 20:09] 那時候你發聲量
[20:09 - 20:10] OK
[20:10 - 20:12] 那時候你
[20:12 - 20:14] 那個時候你也在
[20:14 - 20:15] 只能去沒想到
[20:15 - 20:16] 對嗎
[20:16 - 20:17] 也不想到
[20:17 - 20:19] 那雙方加工
[20:19 - 20:21] 雙方扣上一隻
[20:21 - 20:24] 我的子又在我上面去了
[20:24 - 20:25] 他
[20:25 - 20:27] 趁他
[20:27 - 20:29] 三分之二被更好上
[20:29 - 20:33] 他趁他加3分之2被告我三
[20:34 - 20:36] 他趁他捐3分之2的事都没得了
[20:36 - 20:37] OK
[20:38 - 20:40] 下面他有讯法了
[20:40 - 20:41] 刚才是刷过来喝
[20:42 - 20:43] 更好多对吧
[20:44 - 20:45] 那个骚喽
[20:47 - 20:49] 那个黑老间就分之4
[20:50 - 20:52] 加就分之
[20:53 - 20:54] 就分之2
[20:54 - 20:56] 342对吧
[20:56 - 20:57] 就分之2
[20:57 - 20:58] 对吧
[20:58 - 20:58] 平八
[20:59 - 21:00] 那是不是就分之2是谁
[21:01 - 21:03] 開歌,三分之一囉
[21:03 - 21:09] 更好,24吧
[21:09 - 21:10] 沒有問題啦
[21:10 - 21:11] 三分之二是吧
[21:11 - 21:13] 全力小二被乾淨
[21:13 - 21:14] 先摸完嘛
[21:14 - 21:15] 好,先好了
[21:15 - 21:16] 老闆的二就是
[21:16 - 21:18] 更好,我
[21:18 - 21:20] 三分之二被乾淨
[21:20 - 21:22] 三分之二被
[21:22 - 21:24] 乾淨三,輸了嗎
[21:24 - 21:26] 那分之這麼多,輸了嗎
[21:26 - 21:28] 二分之三,輸了嗎
[21:28 - 21:29] 三分之二,輸了
[21:29 - 21:30] OK
[21:30 - 21:32] 然後又是個別稱道的
[21:32 - 21:36] 三十五分之三十个月了
[21:36 - 21:39] 跟人好多
[21:39 - 21:42] 三十五十五十五成七
[21:42 - 21:44] 一百年多
[21:44 - 21:46] OK
[21:46 - 21:47] 好 托斯云存出了
[21:47 - 21:48] 老闻你
[21:48 - 21:49] 你怎么可能要来
[21:49 - 21:50] 他还带上我活来
[21:50 - 21:52] 托斯云存出来了
[21:52 - 21:53] 托斯云存出来了
[21:53 - 21:54] 是不会贼用的
[21:54 - 21:55] 对不对
[21:55 - 21:56] 托斯云存进一下子
[21:56 - 21:58] AF的
[21:58 - 22:01] 倘多 说多多
[22:01 - 22:04] AF的倘多
[22:04 - 22:37] A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F,A4F
[22:37 - 22:39] 是不是都是雷格早朝
[22:39 - 22:41] 三分之雷格起
[22:41 - 22:43] 所以成以三分之雷格起
[22:43 - 22:45] 所以如果我只能成
[22:45 - 22:46] 不知道要成
[22:47 - 22:48] 是不是雷格起
[22:48 - 22:50] 成以三分之雷格起
[22:51 - 22:52] 他對不對
[22:52 - 22:52] 那是不是
[22:52 - 22:54] 根本是雪格起的有了
[22:55 - 22:56] 他在
[22:56 - 22:56] 他在
[22:56 - 22:57] 連兒就是
[22:57 - 22:58] 下面是三
[22:58 - 22:59] 根本不
[22:59 - 23:00] 上面是
[23:00 - 23:01] 把二根二三
[23:01 - 23:03] 把多少都
[23:03 - 23:04] 四五分之
[23:04 - 23:05] 二倍根本
[23:05 - 23:06] 一四五
[23:07 - 23:09] 你竟然算多了
[23:09 - 23:12] 耶提
[23:12 - 23:13] 福祭你
[23:13 - 23:14] 你提就能都是很高桌
[23:14 - 23:16] 耶提有機會發貴主席嗎
[23:16 - 23:17] 那麼
[23:17 - 23:18] 那時候我跟你們講
[23:18 - 23:19] 這個我講
[23:19 - 23:20] 耶提
[23:20 - 23:21] 我們卡我們
[23:21 - 23:22] 人確定是卡
[23:22 - 23:24] 他應該是3-4-8
[23:24 - 23:26] 但是山東卡
[23:26 - 23:28] 山東是他這
[23:28 - 23:30] 是高卡達勝
[23:30 - 23:31] OK
[23:31 - 23:32] 耶提
[23:32 - 23:33] AF和ABC
[23:33 - 23:35] 一層離開我們都是FAB
[23:35 - 23:38] AF和ABC也曾經過不久
[23:38 - 23:40] 我累了,我睡了一個時候
[23:40 - 23:41] 他在那裡有很多很多
[23:41 - 23:43] 你把所有的水都吹著,可以爬
[23:43 - 23:44] 他在那邊吧
[23:44 - 23:45] 所以
[23:45 - 23:48] 來,我們終結一下
[23:48 - 23:50] 兩個終結也就開關鍵了
[23:50 - 23:51] 然後
[23:51 - 23:52] 這是AFAB
[23:52 - 23:54] 來,我們先說了
[23:54 - 23:56] 一個不簡單的
[23:56 - 23:57] 兒邊過了那麼久
[23:57 - 24:00] 兒邊過了那麼久
[24:00 - 24:02] 兒邊過了那麼久
[24:02 - 24:03] 兒邊過了,還不是結一下
[24:03 - 24:06] 是不是发香面里加过去呢
[24:06 - 24:10] 这个就是狼独就是Cosie
[24:12 - 24:14] 狼独的加没有
[24:16 - 24:17] me very good
[24:18 - 24:19] OK
[24:19 - 24:20] 第二个呢
[24:21 - 24:22] 我们说了
[24:22 - 24:23] 写面独
[24:27 - 24:29] 狼独写面独的
[24:29 - 24:30] 写面独的是
[24:30 - 24:31] sai
[24:32 - 24:34] sai 应该的鱼
[24:34 - 24:37] Cosie 发香面
[24:37 - 24:39] 那裡有個災印
[24:39 - 24:41] 是假的,我那個
[24:41 - 24:43] 字寫
[24:43 - 24:47] 耶,對
[24:47 - 24:49] 那兩個相對
[24:49 - 24:51] 啊,寫面簸
[24:51 - 24:53] 寫面簸的災印
[24:53 - 24:55] 就是有一個扣陣子
[24:55 - 24:56] 發生了,那兩個都假的
[24:56 - 24:57] 這個字
[24:57 - 24:58] 我把這個字好嗎
[24:58 - 24:59] 我以為
[24:59 - 25:01] 那就是災印
[25:01 - 25:05] 耶,對
[25:05 - 25:07] 假的批評
[25:07 - 25:12] 真的嗎
[25:12 - 25:15] 好,第三个我误会说了
[25:15 - 25:17] 电
[25:17 - 25:22] 打
[25:22 - 25:25] 新面
[25:25 - 25:27] 你
[25:27 - 25:32] 要指用
[25:32 - 25:34] 你们这些都是靠着什么时候
[25:34 - 25:42] 你急着还用戴手
[25:42 - 25:43] 你用戴手
[25:43 - 25:46] 你用戴手
[25:46 - 25:46] 他自己总跟你说
[25:46 - 25:48] 我再次用戴手
[25:48 - 25:49] 我问你其算而言不分
[25:49 - 25:50] 在那种戴手
[25:50 - 25:52] 你要不也你呢
[25:52 - 25:53] 我跟指示人不分
[25:53 - 25:55] 不是地球的表情
[25:55 - 25:57] 是算能个脸
[25:57 - 25:59] 拿一些灶眼去
[25:59 - 26:01] 把你捉完天之内衣服
[26:01 - 26:05] 你先把我剪成左右两天
[26:05 - 26:07] 还有个地料
[26:07 - 26:09] 不是地球的表情时还是脸的东西
[26:09 - 26:10] 那个脸
[26:10 - 26:12] 那是没人举例公司
[26:12 - 26:16] 通过写编络
[26:16 - 26:17] 是吧
[26:17 - 26:19] 睡个你早一点
[26:19 - 26:20] 完全是水
[26:20 - 26:23] 你只要睡个你早一点就先上一次了
[26:23 - 26:32] 是一片脏的地方
[26:32 - 26:39] 也不是雷的替激活法
[26:39 - 26:40] 是一片不心意
[26:40 - 26:42] 或者是多起的心念來
[26:42 - 26:43] 睡不飄一點
[26:43 - 26:46] 六部的腐臭水片脹個鐵
[26:46 - 26:47] 是一點
[26:47 - 26:49] 你可以令你掌點水片脹
[26:49 - 26:50] 有沒有練得到鐵水
[26:50 - 26:50] 然後在哪裡
[26:50 - 26:51] 有沒有好
[26:51 - 26:55] 你所雷的
[26:55 - 26:56] 你所雷的替客
[26:56 - 26:57] 會不會有激活法主
[26:57 - 27:00] 肯定會有所有的替的
[27:00 - 27:01] 會有激活法主
