# 14.3、14.4 合并转写稿
转写时间：2026-06-14 18:37:33
模型：faster-whisper-base，本地 CPU int8

# 14.3.m4a 转写稿
来源文件：/Users/xiaodi/Downloads/14.3.m4a

[0002.06 - 0005.82] 或一点油浅就用一条直线与这条直线平行
[0122.54 - 0123.54] 不是对你脚
[0123.54 - 0124.54] 比如说
[0124.54 - 0125.54] 比如说你
[0125.54 - 0127.54] 地上有一个
[0128.54 - 0130.54] 你这有一个三角法
[0130.54 - 0131.54] 三十六十九十多对不对
[0131.54 - 0133.54] 你那也有三十九十九十多
[0133.54 - 0135.54] 然后你的方向是会转一下
[0135.54 - 0137.54] 这就不是对你个关系
[0137.54 - 0139.54] 但是一就是可以相等的
[0139.54 - 0140.54] 不相交的两条直线
[0140.54 - 0144.07] 叫做平行线
[0144.07 - 0145.07] 同一平天
[0145.07 - 0146.07] 同一平天内
[0146.07 - 0148.07] 不相交的两条直线叫做平行
[0148.07 - 0149.07] 也不完正
[0149.07 - 0150.07] 是
[0150.07 - 0152.32] 违路
[0152.32 - 0153.32] 也不
[0153.32 - 0155.32] 永远不相交
[0157.32 - 0158.32] 就是
[0158.32 - 0159.32] 你的两条直线
[0159.32 - 0160.32] 它的规矩关系
[0160.32 - 0161.32] 其实不止
[0161.32 - 0162.32] 有皮型
[0162.32 - 0163.32] 跟相交的两个情况
[0163.32 - 0165.32] 我还有个特殊情况的重合
[0165.32 - 0167.32] 重合的话是
[0167.32 - 0169.32] 重合的话是
[0169.32 - 0170.32] 既不平行
[0170.32 - 0171.32] 也不相交
[0171.32 - 0172.32] 所以
[0172.32 - 0173.32] 唐玉涵那个说法是很低的
[0173.32 - 0174.32] 说
[0174.32 - 0175.32] 老师你不相这两条直线
[0175.32 - 0176.32] 叫做平行线
[0176.32 - 0177.32] 那万一
[0177.32 - 0178.32] 因为根本就不在同一平天内
[0178.32 - 0179.32] 相这样
[0179.32 - 0180.32] 也叫不相交
[0180.32 - 0182.32] 就是也不会相交
[0182.32 - 0183.32] 就不在同一平天内
[0183.32 - 0184.32] 一个在这个平天内
[0184.32 - 0185.32] 一个在这个平天内
[0185.32 - 0186.32] 看到吗
[0186.32 - 0187.32] 永远不小点
[0187.32 - 0188.32] 它们比起也比较平行
[0188.32 - 0189.32] 对不对
[0189.32 - 0190.32] 所以从这个侧面出发
[0190.32 - 0192.32] 它本来就已经错了
[0192.32 - 0194.32] 但是就算是满足才同一平天内
[0194.32 - 0195.32] 不相交忍头
[0195.32 - 0196.32] 直接也不一定是平一下
[0196.32 - 0198.32] 因为它可能会重合
[0198.32 - 0200.32] 然后刚才有过去提到的垂直
[0200.32 - 0202.32] 是特殊的三条线
[0202.32 - 0205.32] 垂直是三条的特殊情况
[0205.32 - 0206.32] 就三条复够
[0206.32 - 0207.32] 假的那你就输了
[0207.32 - 0208.32] 有没有问题
[0208.32 - 0209.32] 对
[0209.32 - 0210.32] 好
[0210.32 - 0211.32] 这一份标记一下
[0211.32 - 0212.32] 就两个
[0212.32 - 0213.32] 两个方面
[0213.32 - 0214.32] 它都是错的
[0214.32 - 0216.32] 第一个从同一平天上来说它是错的
[0216.32 - 0217.32] 第二个
[0217.32 - 0218.32] 从漏掉了
[0218.32 - 0220.32] 重合这种情况来说是也错的
[0220.32 - 0233.42] 两个实现实型
[0233.42 - 0235.42] 同位脚相当永远成立
[0235.42 - 0237.42] 同位脚相当俩实现实型
[0237.42 - 0238.42] 也是对的
[0238.42 - 0240.42] 然后第六体也有同学错
[0240.42 - 0241.42] 而全错
[0241.42 - 0242.42] 这个一个人对
[0242.42 - 0244.42] 这个地方的话
[0244.42 - 0246.42] 大家
[0246.42 - 0248.42] 我想着大家错的原因
[0248.42 - 0250.42] 是不是因为你们小熬学了那些配套
[0250.42 - 0252.42] 问题然后有一些结论
[0252.42 - 0254.42] 然后自己的结论结论结论结论
[0254.42 - 0256.42] 你们是不是按结论
[0256.42 - 0257.42] 去做的配套我去结论
[0257.42 - 0258.42] 学会
[0258.42 - 0259.42] 学会
[0259.42 - 0261.70] 学会
[0261.70 - 0262.70] 学会
[0262.70 - 0264.70] 第一个问题是很常见的一做方程形
[0264.70 - 0265.70] 一点
[0267.70 - 0268.70] 因为我记得可以
[0268.70 - 0270.70] 不就是我说过他的结论
[0270.70 - 0272.70] 然后我记不住
[0272.70 - 0273.70] 我觉得反而就是
[0273.70 - 0275.70] 没必要是小熬
[0275.70 - 0276.70] influence
[0276.70 - 0278.70] 你小熬学某一个
[0278.70 - 0281.70] 她其实是一种
[0281.70 - 0284.70] 本来就是演第一步
[0284.70 - 0285.82] 推第二步
[0285.82 - 0286.70] 推第三步
[0286.70 - 0288.70] 对不对
[0288.70 - 0293.10] 第二步驟以一个知识给相关的题目的时候,如果你是初中间乱,
[0293.10 - 0297.86] 你其实是已经当第一步学过了,你再来做第二步了,
[0297.86 - 0302.30] 所以你初中做这一个提供底层国际出发,
[0302.30 - 0304.58] 你能够很好理解这个路线,多一番,
[0304.58 - 0310.18] 但傻耗的是,很多学生是已经体现像书工甚至导中的路线,
[0310.18 - 0313.18] 拿给你们去做了,感觉好,所以你们没有办法,
[0313.18 - 0316.22] 所以你们没有办法从底层国际调料去理解,
[0316.22 - 0322.34] 首先,那个时候,你们的大老大学都没有用过的观赛,
[0322.34 - 0325.34] 对不对,这一件事情,你们的时间也不允许你们,
[0325.34 - 0328.50] 这样传不学,你初中学什么呢,高不学什么呢,对不对,
[0328.50 - 0330.58] 所以,他刚刚的目的是在这里一个,
[0330.58 - 0334.82] 在这里一个,就是我这一道题,考圈二重视点,
[0334.82 - 0337.38] 那我就准备你想圈二重视一个二级结论,
[0337.38 - 0340.02] 一般结论被导致,并不是导致提供底层国际的去做,
[0340.02 - 0341.82] 终于去做,终于去做,终于去做,
[0341.82 - 0346.62] 所以,那个时候你们很多的,那个时候需要很多的结论就没办法,
[0346.62 - 0349.42] 但是现在的话,我们已经,
[0349.42 - 0352.74] 像这种方程用家最起码这些基本的移动体,
[0352.74 - 0354.14] 你是不需要去被移进结论的,
[0354.14 - 0356.62] 我们从底层国际去理解它就可以了,
[0356.62 - 0359.86] 比如说,他说,博物馆就能修善一做,
[0359.86 - 0364.86] 公便需要制作一批斗狗,每个斗狗有一个王和你,
[0364.86 - 0366.46] 各狗配套主车,
[0366.46 - 0369.30] 那一般来说配套问题,最终终一定会形成一种,
[0369.30 - 0375.58] 比较,这个和谐的状态就是我刚刚好配套成多少套,
[0375.58 - 0378.98] 对不对,那只要是我刚刚好配套成多少套,
[0378.98 - 0382.54] 的话,由于是一个狗和你,一个王和你,
[0382.54 - 0385.74] 一个狗配套,那我最终的总量,
[0385.74 - 0389.34] 我最终的总量,是不是也依旧是,
[0389.34 - 0392.70] 王跟狗的总量会一比二,
[0392.70 - 0394.26] 能就意思吗,能就意思吗,
[0394.26 - 0395.78] 所以我是不是最终的方程,
[0395.78 - 0397.66] 就配套问题方程很死吧,
[0397.66 - 0400.70] 你只需要去将最终总量的暗算出来,
[0400.70 - 0402.42] 最终总量的狗算出来,
[0402.42 - 0404.06] 比一是一比二就可以了,
[0404.06 - 0405.42] 没有那么多的花花料,
[0405.42 - 0407.10] 都那些结论去备,
[0407.10 - 0407.78] 东西怎么样,
[0407.78 - 0409.86] 所以我们的目的就是去吧,
[0409.86 - 0411.46] 有多少个,怎么共算出来,
[0411.46 - 0412.90] 狗,有多少个总共算出来,
[0412.90 - 0414.14] 那人这里很明显啊,
[0414.14 - 0415.78] 一名公价每天二十个,
[0415.78 - 0416.62] 或者三十个,
[0416.62 - 0418.26] 据你这个人每天,
[0418.26 - 0419.62] 就要不做二十个王,
[0419.62 - 0420.66] 要不做三十个狗,
[0420.66 - 0420.98] 对不对,
[0420.98 - 0422.66] 一不可能又做王,又做狗,
[0422.66 - 0424.38] 然后现在呢,那四十名公价,
[0424.38 - 0425.86] 我去管理会去分配,
[0425.86 - 0427.94] 我分配X个人做啊,
[0427.94 - 0431.10] 那是不是就是四十件X个人做狗,
[0431.10 - 0433.10] 那一个人做二十个,
[0433.10 - 0434.66] 那我X个是做二,
[0434.66 - 0436.62] 二十X个啊,
[0436.62 - 0438.98] 然后一个人做四十件X个狗,
[0438.98 - 0441.34] 那我一个人做三十个狗,
[0441.34 - 0445.42] 那我四十件X个人是做这么多个狗,
[0445.42 - 0448.58] 然后看个笔叶上下应该是相等的,
[0448.58 - 0451.42] 所以大家当时写一下一个这样子,
[0451.42 - 0453.10] 我不建议大家跳步走啊,
[0453.10 - 0455.06] 因为虽有一些结论是可以跳步走,
[0455.06 - 0456.14] 直接剑方向的,
[0456.14 - 0457.94] 但是可能我们一起做多写一步,
[0457.94 - 0460.54] 在你的曹高纸上把这个笔一写出来,
[0460.54 - 0461.30] 最终,
[0461.30 - 0465.74] 啊,跟狗的总量比例是二十X的比上,
[0465.74 - 0468.38] 四十件X的差全三十,
[0468.38 - 0470.06] 也就是题目要求的一比二,
[0470.06 - 0471.14] 把这个笔一关系写出来,
[0471.14 - 0472.18] 现在曹高纸上,
[0472.18 - 0478.46] 因为市据院的打替标准是不允许出现这个笔粒的方程的,
[0478.46 - 0481.22] 懂意思吗,打替卡上不允许出现笔粒的方程啊,
[0481.22 - 0482.86] 然后你把这个东西写曹高纸上之后,
[0482.86 - 0485.42] 我们是不是内存内的与外存外识知道的吧,
[0485.42 - 0486.54] 然后你再去吧,
[0486.54 - 0489.34] 三十重以四十件X,
[0489.34 - 0492.14] 等于二重二十倍的X,
[0492.14 - 0495.10] 写在你的那个打替卡上当作你的方程,
[0495.10 - 0495.90] 然后再去计算,
[0495.90 - 0496.70] 懂意思吗,
[0496.70 - 0499.14] 然后现在这个方程如果坚持来了,
[0499.14 - 0500.50] 你只需要练方程不小算,
[0500.50 - 0501.66] 我就会对少一下,
[0501.66 - 0503.86] 应该是三十去从四十件X,
[0503.86 - 0505.50] 认定去找就是三十,
[0505.50 - 0508.14] 但是还是二倍认识错了。
[0508.14 - 0508.74] 三十,
[0508.74 - 0510.90] 这个应该是三十成四十件X,
[0510.90 - 0512.70] 这个也是三十成四十件X,
[0512.70 - 0514.74] 就是只有它是三十成四十件X,
[0514.74 - 0517.02] 然后你以为一年十二十X,
[0517.02 - 0517.82] 这个是从二,
[0517.82 - 0518.82] 这里是连是对的,
[0518.82 - 0520.02] 所以选A,
[0520.02 - 0520.58] 懂了,
[0520.58 - 0521.62] 而且这个地方的话,
[0521.62 - 0522.42] 因为从二十年开始,
[0522.42 - 0523.62] 你们四个方程其实,
[0523.62 - 0526.82] 说来说就是二十二三十四十件X,
[0526.82 - 0529.86] 这几个数据在随意的排阶组合,
[0529.86 - 0530.42] 对不对,
[0530.42 - 0532.70] 所以你们到时候自己叶了一个方程,
[0532.70 - 0535.26] 要去验证到底是ABCD哪一个的时候,
[0535.26 - 0536.98] 对,最好像说到是方程的样,
[0536.98 - 0542.46] 左边把它记忆下成三十重,
[0542.46 - 0543.46] 四十件X,
[0543.46 - 0546.50] 然后去比对方程的某一侧,
[0546.50 - 0547.66] 就一半一半就比,
[0547.66 - 0548.46] 懂一下,
[0548.46 - 0550.62] 就是比如说我这里是记得我的左边,
[0550.62 - 0553.62] 然后就没发现它这里的某一个部分某一半,
[0553.62 - 0554.30] 对不对,
[0554.30 - 0555.78] 就是一等靠为分界线,
[0555.78 - 0557.74] 左边某一边一半一半,
[0557.74 - 0559.06] 好吧,那一休一一半,
[0559.06 - 0561.78] 然后是不是很好吃一样吧,
[0561.78 - 0563.34] 一确认人先打个小狗狗,
[0563.34 - 0564.54] 然后你再去对照,
[0564.54 - 0565.58] 下一把,
[0565.58 - 0566.66] 懂一下是没有啊?
[0566.66 - 0567.42] OK,
[0567.42 - 0570.74] 可能有的同学也是方程列的时候,
[0570.74 - 0571.58] 可能真是列队了,
[0571.58 - 0573.62] 只是刚是选的时候,
[0573.62 - 0575.30] 被这些相同的数字给误导了,
[0575.30 - 0578.02] 所以自己一半一半的缺对比,
[0578.02 - 0581.50] 对的就打狗狗狗对的像我之前排一处了来,
[0581.50 - 0582.54] 他只要有一半的数错,
[0582.54 - 0583.94] 他就已经被排掉了嘛,
[0583.94 - 0587.62] 他已经没有资格在参加后许的竞选了。
[0587.62 - 0588.30] 好吧,
[0588.30 - 0590.38] 然后第八题还是不是要讲,
[0590.38 - 0591.66] 第九题来,
[0591.66 - 0592.62] 没人错,好像是不是,
[0592.62 - 0593.26] 第九题,
[0593.26 - 0595.02] 谢总错不了。
[0595.02 - 0596.30] 哦,你没去答案谢总,
[0596.30 - 0597.86] 刀楼,我等一下他,
[0597.86 - 0598.38] 我们等一下,
[0598.38 - 0600.14] 我没问给他奇怪了,
[0600.14 - 0601.42] 来谢总,快。
[0601.42 - 0602.98] 这种手段很可怕,
[0602.98 - 0604.62] 这是可怕。
[0604.62 - 0606.90] 当然,我会被你看随,
[0606.90 - 0608.98] 大破,随意破,大了。
[0608.98 - 0613.17] 那么选,最后就放了,
[0613.17 - 0614.77] 你快一点然后,
[0614.77 - 0616.73] 你做了一个其实比,
[0616.73 - 0618.61] 你做了一件随,
[0618.61 - 0619.41] AB,
[0619.41 - 0620.81] 我太棒了,
[0620.81 - 0621.85] 什么呀?
[0621.85 - 0622.85] 你看到一多时候,
[0622.85 - 0624.17] 再努力也页顶上边,
[0624.17 - 0625.17] 够实力。
[0625.17 - 0627.17] 什么啦?
[0627.17 - 0635.20] 这个3.83车时的五次房,
[0635.20 - 0637.00] 没有了,我刚开玩笑了,
[0637.00 - 0638.00] 六,
[0638.00 - 0639.00] 三十八,
[0639.00 - 0641.00] 五十九,
[0641.00 - 0642.40] 错了,
[0642.40 - 0643.80] 七十六点五,
[0643.80 - 0646.60] 一货九,
[0646.60 - 0648.48] 八分之三,
[0648.48 - 0652.24] 这东西是我让你去改一改喻的,
[0652.24 - 0654.04] 他一开始读错,
[0654.04 - 0655.12] 一开始询什么四分之九,
[0655.12 - 0657.12] 还是什么九分之四分?
[0657.12 - 0659.12] 九十,
[0659.12 - 0660.12] 四要我,
[0660.12 - 0662.12] 你这怎么走对了,
[0662.12 - 0664.12] 你是考试的时候做的吗?
[0664.12 - 0668.48] 我错了,
[0668.48 - 0670.48] 只有你一个人做对,
[0670.48 - 0671.48] 全错,
[0671.48 - 0675.94] 但是人家就是做对了,
[0675.94 - 0677.94] 可以夸就我荒扬,
[0677.94 - 0678.94] 来这儿,
[0678.94 - 0680.94] 富衣和四分之一,
[0680.94 - 0682.94] 你对得打跟我玩家了,
[0682.94 - 0688.06] 对你毫不了半断脸色,
[0688.06 - 0689.06] 才分之二,
[0689.06 - 0691.06] 富齐分之十一,
[0691.06 - 0693.06] 没什么用的东西,
[0693.06 - 0695.06] 富齐分之一,
[0695.06 - 0697.06] 他前面组织有什么有,
[0697.06 - 0699.06] 他极算口粮一刀了,
[0699.06 - 0704.58] 已经六位一方毕一简二,
[0704.58 - 0705.58] 十,
[0705.58 - 0707.58] 我要看你的格式鞋没有,
[0707.58 - 0713.36] 人家都被我看得了,
[0713.36 - 0715.36] 你还没去解,
[0715.36 - 0717.36] 你还没写原始等于,
[0717.36 - 0719.36] 你缺的不止原始等于,
[0719.36 - 0721.36] 你这有缺什么吗?
[0721.36 - 0723.36] 那个大一点,
[0723.36 - 0725.36] 你们请看,
[0725.36 - 0727.36] 人家要是担具有的哦,
[0727.36 - 0730.61] 然后那些不知道怎么写,
[0730.61 - 0732.61] 又一句汗之写的,
[0732.61 - 0734.61] 浪费了自己时间的,
[0734.61 - 0736.61] 看一下人家是怎么写的,
[0736.61 - 0737.61] 有符号,
[0737.61 - 0738.61] 大余的临,
[0738.61 - 0740.61] 就是恢复性的意思了,
[0740.61 - 0742.61] 你看人家怎么写的,
[0742.61 - 0744.61] 因为某家某北斗临,
[0744.61 - 0746.61] 并且某大余的临,
[0746.61 - 0747.61] 某大余的临,
[0747.61 - 0748.61] 所以懂吗?
[0748.61 - 0750.61] 就是比较整个是朝下,
[0750.61 - 0751.61] 瑕疵的东西,
[0751.61 - 0753.61] 每一头捲子都靠近,
[0753.61 - 0755.61] 每一头捲子都靠着了,
[0755.61 - 0761.77] 有没有订阅我预备我那一头,
[0761.77 - 0762.77] 你没有订阅我人家啊?
[0762.77 - 0763.77] 有没有订阅我,
[0763.77 - 0765.77] 好,你订阅我王啊,
[0765.77 - 0766.77] 好,你订阅我王啊,
[0766.77 - 0767.77] 你来我东西说我,
[0767.77 - 0791.38] 来,现在踏围着,
[0791.38 - 0791.88] 来啊
[0792.88 - 0793.38] 完了
[0793.98 - 0794.78] 来
[0794.78 - 0796.68] 赶紧赶紧切成还是比来
[0796.68 - 0797.28] 还好
[0797.28 - 0797.88] 那一小数
[0798.68 - 0799.98] 我们也叫互裤脸的贴平行
[0799.98 - 0800.98] A大E小平
[0800.98 - 0802.18] 分线的定义
[0804.19 - 0805.19] 你别的装
[0805.19 - 0806.29] 你以前错的不老少
[0806.29 - 0807.09] 那一块呢
[0807.09 - 0808.29] 我这个钱算错
[0808.89 - 0810.09] 对吧
[0810.09 - 0810.39] 对吧
[0810.39 - 0811.19] 错的错的
[0811.69 - 0812.09] 没错
[0812.09 - 0813.19] 像那两个钱贴平行
[0814.49 - 0815.69] 7天20
[0816.69 - 0817.09] 对
[0817.09 - 0817.89] 他有一位10
[0817.89 - 0818.69] 算出来12
[0818.69 - 0819.69] 这是好稀哦
[0819.99 - 0821.29] 3分之20吧
[0825.38 - 0826.38] 3n方
[0826.48 - 0827.48] 仅2n
[0830.73 - 0831.53] 1或6
[0832.23 - 0833.03] 1或36
[0833.33 - 0835.83] 然后写的1
[0835.83 - 0836.83] 都搞30了
[0837.13 - 0837.63] 给你算对
[0837.63 - 0838.43] 给你算对
[0839.93 - 0840.73] 后面那个位置
[0840.73 - 0841.93] 不死没就算了
[0842.13 - 0843.13] 都没人做出来
[0843.53 - 0844.53] 100波
[0845.13 - 0846.23] 但是这一道贴
[0846.23 - 0847.33] 我又要爬老
[0847.33 - 0848.53] 只有加分而不贴
[0849.03 - 0849.73] 第二个
[0850.23 - 0851.73] 你们这是不中的东西
[0852.93 - 0854.23] 这个有什么方法上的
[0854.23 - 0856.03] 你的方法就为了一个方法
[0856.03 - 0857.53] 既然有人没做出来
[0859.86 - 0860.46] 你呢
[0862.16 - 0863.06] 你只做第一位
[0863.56 - 0864.56] 你只能一道的没做
[0865.06 - 0865.56] 又
[0866.06 - 0866.96] 大理过你当时
[0866.96 - 0867.86] 我已经说
[0868.66 - 0870.36] 我小路就写一点
[0870.36 - 0871.26] 然后去剪过去
[0871.26 - 0872.76] 你第一位都做不出来
[0873.26 - 0874.26] 你是非误哦
[0877.16 - 0877.56] 不是
[0877.56 - 0878.46] 你哥是错的
[0878.46 - 0879.66] 但是好你
[0882.16 - 0882.86] 好吧
[0882.96 - 0883.96] 到我展示了
[0885.56 - 0886.86] 让我们来看一看
[0886.86 - 0887.66] 这一道
[0887.66 - 0889.46] 充满熟悉
[0889.46 - 0890.86] 又陌生的
[0890.86 - 0891.66] 底部
[0891.66 - 0892.46] 为什么熟悉
[0892.46 - 0893.06] 你们觉得
[0893.06 - 0894.06] 为什么是他
[0897.06 - 0897.86] 每一次都是
[0897.86 - 0898.46] A&H
[0898.46 - 0899.46] 就剩了A&X
[0900.46 - 0901.96] 现在就这一串
[0901.96 - 0903.46] 熟悉了吗
[0903.46 - 0904.96] 其实就是
[0904.96 - 0907.96] A&一定会比A&X一大吗
[0907.96 - 0910.46] 一定会比A&X二大吗
[0910.46 - 0911.46] 那是下标
[0911.46 - 0913.46] 会决定A
[0913.46 - 0914.96] 某中天大小吗
[0914.96 - 0917.77] 我是说
[0917.77 - 0918.77] 我看后面的
[0918.77 - 0920.27] 是看这一串
[0921.27 - 0922.77] 有大小关系吗
[0922.77 - 0923.27] 没有
[0923.27 - 0924.77] 就是这里所有的A&A
[0924.77 - 0925.77] 一直到A&X
[0925.77 - 0926.77] 他仅仅只是
[0926.77 - 0928.27] 一个位置
[0928.27 - 0929.27] 就我告诉你
[0929.27 - 0930.47] 主位只是一个常数
[0930.47 - 0931.27] 对不对
[0931.27 - 0932.77] 但这些常数到底
[0932.77 - 0934.27] 是有没有什么
[0934.27 - 0935.27] 限制
[0935.27 - 0936.27] 比如说我只是自然说明
[0936.27 - 0936.97] 是非附属
[0936.97 - 0937.77] 我只是附属
[0937.77 - 0938.47] 我只是正说
[0938.47 - 0939.47] 我只是整说
[0939.47 - 0941.47] 我只是
[0941.47 - 0942.07] 前一个
[0942.07 - 0943.07] 必须比后一个大
[0943.07 - 0943.87] 这些东西
[0943.87 - 0945.27] 都是每一道题
[0945.27 - 0945.87] 看它自己
[0945.87 - 0947.07] 格外的单独的要求
[0947.07 - 0947.87] 能为什么要
[0947.87 - 0948.71] 但是单独
[0948.71 - 0949.47] 这样一个
[0950.47 - 0951.67] A&A&X
[0951.67 - 0953.27] 加A&X的方家
[0953.27 - 0955.27] 到A&N的情况的话
[0955.27 - 0957.67] 它的A&A&A&A&X
[0957.67 - 0958.47] 到A&N
[0958.67 - 0960.27] 全部都仅仅只是代表
[0960.27 - 0961.27] 就是告诉你
[0961.27 - 0962.67] 这是一个常数的位置
[0962.67 - 0963.47] 好吧
[0963.47 - 0963.87] 好了
[0963.87 - 0964.47] 我们其主题
[0964.47 - 0965.87] 那在这样的一创
[0966.87 - 0968.27] 整式里面
[0968.27 - 0970.27] 其中A&N
[0970.27 - 0970.87] 你们觉得
[0970.87 - 0974.92] 我不知道这你应该转入去检查谁
[0974.92 - 0975.92] A&N
[0975.92 - 0976.92] 之前是为有的时候
[0976.92 - 0979.52] 它仅仅只是从A&N到A&N
[0979.52 - 0981.72] 那个A&N是为单独定出去了
[0981.72 - 0983.12] 所以你们读到这一个的时候
[0983.12 - 0984.52] 就在限定
[0984.52 - 0987.12] 这些常数最细术的位置
[0987.12 - 0988.32] 它到底是什么东西的时候
[0988.32 - 0989.12] 你要转入去看一下
[0989.12 - 0990.92] 是每一个细术都包含进去了
[0990.92 - 0992.12] A&N一直地解
[0992.12 - 0994.52] 一直到A&N都是非识者数
[0994.52 - 0996.12] 那其实就打翻译管理设
[0996.12 - 0996.92] 这有一个指示
[0996.92 - 0999.72] 里面所有的细术
[0999.72 - 1001.92] 都应该为非识者数
[1001.92 - 1003.12] 没有一个识者数的
[1003.12 - 1003.92] 懂了没有
[1003.92 - 1005.12] 你要自己终于翻译一下
[1005.12 - 1006.52] 那全部都是非识者数
[1006.52 - 1007.92] 是大一个名领哦
[1007.92 - 1009.52] 那你们觉得我翻译是大一个名领
[1009.52 - 1010.92] 就要博助记忆一下
[1010.92 - 1014.57] 这里是干嘛的
[1014.57 - 1015.57] 光大一个名领
[1015.57 - 1017.37] 然后就直接不下去了
[1017.37 - 1017.77] 一般来说
[1017.77 - 1020.57] 这里都会采个坑面是什么
[1020.57 - 1022.97] 就结合到我们以前做的历史的题目
[1022.97 - 1024.57] 它会在这个位置哪一色
[1024.57 - 1027.89] 一个坑面
[1027.89 - 1029.89] 它是合一的领领导
[1029.89 - 1030.89] 对不对
[1030.89 - 1032.49] 之前我们说有的下事
[1032.49 - 1034.49] 只能要说是
[1034.49 - 1037.09] 正长数
[1037.09 - 1037.49] 对不对
[1037.49 - 1038.49] 我们之前说的这个地方
[1038.49 - 1040.09] 它不是非识者数的正长数
[1040.09 - 1040.69] 对吧
[1040.69 - 1042.09] 我们当时在做这些题
[1042.09 - 1044.09] 就是从这些细术就只能去
[1044.09 - 1045.89] 讨论从一开始没举
[1045.89 - 1046.49] 对不对
[1046.49 - 1048.09] 但现在人家是什么
[1048.09 - 1050.09] 所有细术都无视大于的领领导
[1050.09 - 1051.49] 要走出去的旁边过标记一下
[1051.49 - 1052.89] 是可以等于领导
[1052.89 - 1054.29] 也就是说我没学义
[1054.29 - 1056.09] 应该从领开始没举
[1056.09 - 1057.09] 同位是没有
[1057.09 - 1057.69] OK
[1057.69 - 1059.89] 然后且n是正正数
[1059.89 - 1060.69] n是正正数
[1060.69 - 1062.09] 因为这种意思
[1062.09 - 1063.49] 我们以前有数有个题
[1063.49 - 1065.29] 它不会要求n是正正数
[1065.29 - 1067.09] 它只要求n是什么
[1067.09 - 1068.09] 自然数
[1068.09 - 1069.09] 自然数
[1070.09 - 1070.69] 是吧
[1070.69 - 1071.89] 只要求n是自然数
[1071.89 - 1072.89] n是自然数
[1072.89 - 1073.89] 如果n是自然数
[1073.89 - 1075.29] n最小为0
[1075.29 - 1076.89] 所以我是可以有一个单项是
[1076.89 - 1079.09] 就是一个a0
[1079.09 - 1080.49] 都长数像直接裤成了
[1080.49 - 1081.09] 对不对
[1081.09 - 1083.29] 但是这里因为要求n是正正数
[1083.29 - 1084.69] 这是最小为1
[1084.69 - 1088.09] 所以我最少都应该多写成
[1088.09 - 1090.49] a1s加a0
[1090.49 - 1092.29] 这一告二项是
[1092.29 - 1093.89] 当然如果你a0等于0
[1093.89 - 1094.89] 当我没说
[1094.89 - 1095.69] 好吧
[1095.69 - 1096.69] 有没有点
[1096.69 - 1097.69] 能决过
[1097.69 - 1098.29] OK
[1098.29 - 1098.89] 好
[1098.89 - 1100.49] 然后且满图a
[1100.49 - 1102.69] 这些a1a1
