[0000.62-0006.62] 好张格元最近9套 最近8套试卷的对比得分
[0006.62-0015.62] 实际得分的话 你的区间是在110至135
[0015.62-0023.62] 但是你自己孤独应得分是在132至146
[0291.78-0293.78] 你比起唐宇航生就不踏实
[0293.78-0294.78] 他至少
[0294.78-0295.78] 他的
[0295.78-0297.78] 他虽然英得分数有那么多
[0297.78-0298.78] 对吧
[0298.78-0299.78] 他也丢了很多习惯分
[0299.78-0300.78] 他起码他的实际得分
[0300.78-0301.78] 他没有很丑
[0301.78-0302.78] 他都在120加
[0302.78-0303.78] 你有很丑
[0303.78-0304.78] 看到没有
[0304.78-0306.78] 所以其实你最大的问题
[0306.78-0307.78] 应该是态度
[0307.78-0308.78] 你的态度体现在那
[0308.78-0309.78] 你上课的时候
[0309.78-0310.78] 很多的时候
[0310.78-0311.78] 我在讲题的时候
[0311.78-0312.78] 你觉得我会
[0312.78-0313.78] 其实你没有用人听
[0313.78-0315.78] 因为我点过你好几次名字了
[0315.78-0316.78] 特别是最后这几节课
[0316.78-0317.78] 因为
[0317.78-0318.78] 越到后面讲的新课
[0318.78-0319.78] 这是点越少
[0319.78-0320.78] 更多就是在讲题
[0320.78-0321.78] 然后题的话
[0321.78-0322.78] 你就自己觉得
[0322.78-0323.78] 我会做
[0323.78-0324.78] 所以你上课态度上
[0324.78-0325.78] 就稍微的
[0325.78-0327.78] 松懈了一点点
[0327.78-0328.78] 就没有认真听讲
[0328.78-0329.78] 但是你会发现
[0329.78-0330.78] 你最后一套试卷
[0330.78-0332.78] 是不是依旧会有一些方法上
[0332.78-0333.78] 自己选曲不当
[0333.78-0335.78] 然后导致自己丢分
[0335.78-0336.78] 对不对
[0336.78-0337.78] 其实就是平时激烈的问题
[0337.78-0338.78] 你平时态度好
[0338.78-0339.78] 你多激烈一下下
[0339.78-0341.78] 你在某些细节丢分上
[0341.78-0345.35] 其实会避免一些问题
[0345.35-0346.35] 看到没有
[0346.35-0347.35] 所以你现在
[0347.35-0348.35] 你的态度都安振起来
[0348.35-0349.35] 还来得及
[0349.35-0350.35] 因为我们7月份
[0350.35-0351.35] 有一整个月的时间缓冲
[0351.35-0353.35] 请你把这个态度先端振起来
[0353.35-0355.35] 将这些问题
[0355.35-0358.35] 自己在心里面去好好想一想
[0358.35-0359.35] 自己问一下自己
[0359.35-0360.35] 该怎么解决
[0360.35-0361.35] 因为曾经其实具体的解决办法
[0361.35-0362.35] 我已经给你们讲过了
[0362.35-0363.35] 对不对
[0363.35-0364.35] 那你现在要选曲那些方法
[0364.35-0365.35] 自己去想
[0365.35-0367.35] 然后在那四套试卷里面
[0367.35-0368.35] 去用起来
[0368.35-0369.67] 知识点的话
[0369.67-0370.67] 其实有的时候你看到没有
[0370.67-0371.67] 越难的知识点
[0371.67-0372.67] 它们越容易忘了知识点
[0372.67-0373.67] 我在上课问的时候
[0373.67-0374.67] 你反而达得起来
[0374.67-0375.67] 比如说之前的那个
[0375.67-0376.67] 什么多个绝对之相
[0376.67-0377.67] 加起最小的一些结论
[0377.67-0378.67] 对不对
[0378.67-0379.67] 比如说一些
[0379.67-0380.67] 动点问题里面的公式
[0380.67-0381.67] 对不对
[0381.67-0382.67] 你反而是记得比较熟的
[0382.67-0383.67] 就是你对那些
[0383.67-0384.67] 哪一点的东西
[0384.67-0385.67] 反而感兴趣一些
[0385.67-0387.67] 但是问题往往是
[0387.67-0389.70] 越简单的你越丢分呢
[0389.70-0390.70] 态度
[0390.70-0391.70] 态度要端振起来
[0391.70-0393.70] 然后那四套试卷还是一样的
[0393.70-0395.70] 先去将这九套试卷的
[0395.70-0396.70] 这个错音
[0396.70-0397.70] 不是你自己写了一遍了吗
[0397.70-0398.70] 对不对
[0398.70-0399.70] 再去想一想
[0399.70-0400.70] 因为你当时
[0400.70-0402.70] 更多是以完成任务的心态
[0402.70-0403.70] 找错音
[0403.70-0404.70] 现在我需要你去
[0404.70-0405.70] 额外添个任务
[0405.70-0406.70] 就是这个错音
[0406.70-0407.70] 我该怎么解决
[0407.70-0409.70] 好真的要过一下心里面
[0409.70-0410.70] 以内曲律去改一下
[0410.70-0411.70] 听到没有
[0411.70-0412.70] 然后有
[0412.70-0414.70] 肯定还有些是能力上的问题
[0414.70-0415.70] 是细节上的问题
[0415.70-0417.70] 去想想这个能力上的问题
[0417.70-0418.70] 你需要再去补那些支持点
[0418.70-0420.70] 再去复习一下
[0420.70-0421.70] 好
[0421.70-0423.70] 这个是
[0423.70-0425.70] 谢彤
[0425.70-0427.66] 谢彤你
[0427.66-0431.11] 你真的很让我生气
[0431.11-0433.40] 有几套还是考得不错
[0433.40-0435.40] 有130 有120呢
[0435.40-0436.40] 因为我
[0436.40-0437.40] 看你之前那个状态
[0437.40-0440.59] 我就觉得你就只能考个120加
[0440.59-0441.59] 因为你自己知道
[0441.59-0442.59] 你的状态是怎样的
[0442.59-0443.59] 比起其他同学来说的话
[0443.59-0445.59] 就是你完全就感觉没有怎么
[0445.59-0446.59] 动脑的那种
[0446.59-0449.59] 所以我觉得你能够考个120加
[0449.59-0450.59] 然后将
[0450.59-0451.94] 你能考个120加
[0451.94-0454.94] 去将那个基础的分数
[0454.94-0455.94] 拿起来
[0455.94-0456.94] 保证7年级上策的支持点
[0456.94-0458.94] 是稳的之后
[0458.94-0459.94] 可以跟着他们一起
[0459.94-0460.94] 去学习下的这种
[0460.94-0462.94] 我就觉得已经很不错了
[0462.94-0463.94] 然后你真正的
[0463.94-0464.94] 要再提分可能进入期上
[0464.94-0465.94] 就会好很多
[0465.94-0466.94] 但现在的话呢
[0466.94-0468.94] 但是你自己会发现
[0468.94-0469.94] 你将那些
[0469.94-0471.94] 十几分加起来之后
[0471.94-0473.94] 你真正实力在130内
[0473.94-0476.00] 我还是希望你7月份的
[0476.00-0477.00] 这四套试卷能够
[0477.00-0479.00] 到130去
[0479.00-0482.06] 那你现在最重要的是什么
[0482.06-0483.06] 计算
[0483.06-0486.48] 把你的计算改上来
[0487.25-0488.25] 计算怎么改
[0488.25-0490.25] 一个惩罚
[0490.25-0491.41] 回去之后
[0491.41-0492.41] 我待会儿要问你妈妈了
[0492.41-0493.41] 就是你那九套试卷
[0493.41-0494.41] 里面的错题
[0494.41-0496.41] 是不是都上传了
[0496.41-0498.41] 我也不要求你
[0498.41-0499.41] 把那个什么选择
[0499.41-0501.41] 填空和大体亚洲上传了
[0501.41-0502.41] 这些就不上传了
[0502.41-0503.41] 除了选择
[0503.41-0504.41] 填空大体以外的
[0504.41-0506.41] 全部给我上传
[0506.41-0507.41] 很多都是计算
[0507.41-0508.41] 重新写一遍
[0508.41-0511.41] 你写了你一定能够改过来
[0511.41-0512.41] 懂了没有
[0512.41-0513.41] 计算哈
[0513.41-0515.41] 还有就是态度
[0516.85-0517.85] 太松懈了
[0517.85-0518.85] 好吧
[0518.85-0521.62] 杨玉琴
[0521.62-0522.62] 快来
[0526.44-0528.57] 杨玉琴的实际得分
[0528.57-0533.57] 115-106-141
[0533.57-0534.57] 殷得分数
[0534.57-0537.57] 131-148
[0537.57-0538.57] 你估的殷得分数
[0538.57-0540.57] 是你的实力去解
[0540.57-0541.57] 我之前在开学的
[0541.57-0542.57] 在那个期中的时候
[0542.57-0543.57] 我就跟你妈妈说的是
[0543.57-0544.57] 我说我们班
[0544.57-0546.57] 有四位同学的实际能力
[0546.57-0547.57] 应该是140的
[0547.57-0548.57] 就是你
[0548.57-0550.57] 唐宇航跟李荫某
[0550.57-0551.57] 这不是三位吗
[0551.57-0552.57] 还有这张
[0552.57-0553.57] 好 三位
[0553.57-0554.57] 对 我说三位
[0554.57-0555.57] 然后还有一位同学
[0555.57-0556.57] 是Yan Sunny
[0556.57-0557.57] 就是当时的那个张元
[0557.57-0558.57] 然后还有一个120
[0558.57-0560.57] 就是谢瑞通
[0560.57-0561.57] 现在你估的分数
[0561.57-0563.57] 是在我预期内
[0563.57-0564.57] 然后你的问题的话
[0564.57-0566.57] 其实你可以发现
[0566.57-0569.42] 怎么说呢
[0569.42-0571.42] 写得很慢
[0571.42-0574.76] 但是你写得很慢
[0574.76-0576.76] 你的正确率也没办法去保证
[0576.76-0578.94] 我觉得你更多的是
[0578.94-0580.94] 那个状况的
[0580.94-0581.94] 状态的问题
[0581.94-0582.94] 就是你有的时候
[0582.94-0583.94] 感觉像是没带脑子
[0583.94-0585.94] 在考试一样
[0585.94-0586.94] 就是你没有说是
[0586.94-0588.94] 调整好自己的
[0588.94-0591.30] 这个硬式状态
[0591.30-0593.30] 有点太随意了
[0593.30-0594.55] 是不是
[0594.55-0596.55] 你在做有某几套试卷的时候
[0596.55-0597.55] 就那么随意
[0597.55-0598.55] 那种甚至于
[0598.55-0599.55] 还能跟别人聊两句
[0599.55-0600.55] 胡天的那种
[0600.55-0602.55] 其实就是
[0602.55-0604.55] 状态调整一下
[0604.55-0605.55] 那这个以后考试
[0605.55-0606.55] 真正考试的时候
[0606.55-0607.55] 肯定不会出现这个问题
[0607.55-0609.55] 然后还有就是
[0610.55-0612.65] 习惯问题还是一样的
[0612.65-0613.65] 就我们把所有的同学
[0613.65-0614.65] 都是一样的
[0614.65-0615.65] 内趋利
[0615.65-0616.65] 因为我已经倒逼
[0616.65-0617.65] 你们自己去找了问题了
[0617.65-0618.65] 对不对
[0618.65-0619.65] 包括你刚才呢
[0619.65-0620.65] 我跟习惯问题
[0620.65-0621.65] 几书去找
[0621.65-0622.65] 每一套试卷的
[0622.65-0623.65] 这个道理错音
[0623.65-0624.65] 错在哪里
[0624.65-0625.65] 是吧
[0625.65-0626.65] 你可以把这个任务
[0626.65-0627.65] 回去继续完成
[0627.65-0628.65] 然后拍照给我检查
[0628.65-0629.65] 听到没有
[0629.65-0630.65] 继续把这个任务完成了
[0630.65-0631.65] 然后我倒逼
[0631.65-0632.65] 你们自己去找了
[0632.65-0633.65] 这个错音之后
[0633.65-0634.65] 我还需要
[0634.65-0635.65] 倒逼你们的一件事情
[0635.65-0636.65] 就是
[0636.65-0637.65] 想一想
[0637.65-0638.65] 这个错音
[0638.65-0639.65] 我其实不该犯
[0639.65-0640.65] 我应该是在这个
[0640.65-0641.65] 实力时间内
[0641.65-0642.65] 那我需要付出
[0642.65-0645.15] 怎样的行动
[0645.15-0646.15] 可以
[0646.15-0647.15] 达到我的应得分数
[0647.15-0648.15] 这个需要回去
[0648.15-0649.15] 自己思考
[0649.15-0650.15] 我觉得
[0650.15-0651.15] 我们自己去想
[0651.15-0652.15] 然后在那个
[0652.15-0654.15] 学期的试卷里面
[0654.15-0656.15] 将你们的应得分数拿到
[0656.15-0658.15] 就你至少得有个
[0658.15-0659.15] 135吧
[0659.15-0660.15] 我们取个中间纸
[0660.15-0661.25] 135也有吧
[0661.25-0662.25] 对不对
[0662.25-0664.63] 然后
[0664.63-0666.63] 知识点的话
[0666.63-0667.63] 其实你还好
[0667.63-0668.63] 你反而知识点的了
[0668.63-0669.63] 你
[0669.63-0670.63] 我好像没怎么遇到过
[0670.63-0672.79] 你是哪些东西不会
[0672.79-0673.79] 就是知识点
[0673.79-0674.79] 搞忘了的呀
[0674.79-0675.86] 那种
[0675.86-0676.86] 还比较少
[0676.86-0677.86] 是不是
[0677.86-0678.86] 公事啊什么的
[0678.86-0679.86] 你还记得住
[0679.86-0680.86] 习惯问题
[0680.86-0683.50] 读题习惯
[0683.50-0684.50] 以及时间分配就是
[0684.50-0685.50] 进入状态
[0685.50-0686.50] 自己不认真
[0687.91-0688.91] 自己去反思一下
[0688.91-0689.91] 知道没有
