# 万象三路 11.m4a 转写稿
# source_wav: /tmp/wanxiangsanlu_11_16k.wav
# generated_at: 2026-05-23T21:26:56

[0.78-3.68] 好 哪个东西
[3.68-5.78] 我先给你们讲 来讲一下
[6.78-11.28] 懂电文件其实是在上一公斗两公斤狂
[199.14-200.14] 我们看看第一题
[202.14-203.14] 第一题
[203.14-204.14] 第一
[204.14-205.14] 五分之一
[213.98-269.28] 第一题
[271.28-273.28] 大概第一题可能了
[273.28-280.76] 第二题可能了
[280.76-315.20] 第二题可能了
[315.20-317.20] 只能够猪狸
[320.90-322.90] 倒是二七
[336.42-350.19] OK
[353.19-354.19] 好
[356.19-359.19] 滋味了
[363.19-365.19] 则始樑
[365.19-367.85] 求ABC區執的防衛
[369.97-370.97] 然後問你
[371.57-372.47] ABC名字
[372.47-373.97] 你去小小的嗎
[376.97-377.97] 最小是不是都什麼
[377.97-378.47] 幹嘛
[379.47-380.47] 那個老子年紀
[380.47-381.47] 對不對
[381.47-382.47] 就打開
[383.47-384.47] 對啊 高嘴打
[384.47-385.47] 是不是
[385.47-385.97] 老媽扛
[385.97-386.97] 搞得那麼糟糕
[386.97-388.47] 我們現在那個是不是
[388.77-390.47] 偷幫名字區執防衛
[390.47-391.47] 別真的啊
[392.97-394.47] 是不是搞得區執防衛
[395.87-396.37] 對不對
[396.37-396.87] 對不對
[396.87-397.87] 對不對
[397.87-398.87] 啊
[398.87-399.87] 沒關係
[399.87-400.87] 什麼啦
[400.87-401.37] 我問你
[405.28-406.28] 對不對
[406.28-406.78] 我
[406.78-408.28] 搞得那麼糟糕
[408.78-410.28] 我還是那麼糟糕
[411.78-417.29] 什麼啦
[417.29-418.29] 沒有問題啊
[418.29-419.29] 這個不硬的
[419.29-421.57] 但是
[421.57-422.07] 我想說
[422.07-427.96] 我怎麼做出一種生氣
[427.96-428.96] OK
[428.96-429.96] 好
[429.96-430.96] 但我不是說
[431.96-433.96] 我是不是都有一種
[434.96-435.96] 我不是那個
[435.96-436.46] 我不是那個
[436.46-437.46] 我想說出這個
[437.46-438.46] 搞
[438.96-440.96] 原主的搞得那麼糟糕
[440.96-441.96] 我沒搞的
[441.96-442.96] OK
[442.96-443.96] 老媽
[443.96-444.96] 我以為那個
[444.96-445.96] H 毆毓
[445.96-446.96] 什麼之類
[446.96-447.96] 對不對
[447.96-449.46] 好 那個H 毆毓
[449.46-450.46] 是不方是不是
[450.46-451.96] 應該等於
[452.96-454.96] 毆毓協的是不方
[455.96-456.96] 這些不方
[456.96-457.46] 還錢
[457.46-460.30] 家
[460.30-462.30] 毆毓協的選舉方
[463.30-464.30] 是不是不方
[464.30-465.30] 對不對
[467.30-468.30] 好 我們等一下去
[468.30-469.30] 預判這個
[469.30-470.30] 是不是
[472.30-473.30] 搞得了
[475.30-477.30] 好 我們裡面
[477.30-479.30] 請問
[479.30-480.30] 阿寬
[480.30-481.20] 阿寬
[492.61-494.91] 我第一個
[497.71-499.51] 我們這個
[499.51-501.51] A字不可以等你T字發揮
[505.01-507.01] A字可以不懂
[507.01-507.51] 對,對
[507.51-509.51] A字是A字,我是個好人
[510.51-511.51] 自己
[512.51-513.51] 懂了
[513.51-515.51] 這新唱歌是不得不靈的
[515.51-517.51] 對吧,這樣會發現
[517.51-520.51] 你從來不會發揮
[520.51-521.51] 懂了嗎?
[521.51-523.51] 好,就是7分的T字
[523.51-524.51] 找出一字
[524.51-526.51] 當時給他5米1
[526.51-527.51] 好,下一個
[527.51-535.76] 你不能只要空哪了
[535.76-536.76] 要空KB
[536.76-539.66] 你不能把你用一套空兌生一起睡了
[539.66-542.06] 要空兌生睡了
[542.06-543.56] 我都兌生你才听不懂
[543.56-546.46] 你把我说你把空兌要告诉你
[548.46-555.74] 你一切是不是有点年轻
[555.74-565.39] 你一切都在那里哦
[565.39-567.39] 你看那个S人的简单点
[567.39-568.89] 我们的啦
[568.89-572.85] 我真的搞了不出来
[572.85-574.35] 你看 比如说
[574.35-574.85] 对
[574.85-578.75] 那个C是不是还投影的时候的S人
[579.45-582.23] 这地面投影
[582.23-584.23] C是不是在那里投影
[584.23-585.63] 所以我说你C是在
[585.63-587.53] 那个S是 对不对
[587.53-589.03] 我不是在那里
[589.03-590.81] C是在那里面你投影
[590.81-592.43] 不用说在那里
[592.43-593.57] 不用
[595.33-598.03] 我之前也没在那里
[598.03-600.13] 不要叫声音
[600.13-602.37] 就是不就当地面去取试
[602.37-603.73] 我从那边投影翻
[603.73-607.53] 我们不是等到公囊声音的时候的名字
[607.53-609.33] C是没有那个C是C
[610.13-612.37] 但是剛剛有一個腿軟體沒關係
[612.37-613.47] 不是全身的生活性
[613.47-614.47] OK
[614.47-615.31] 好
[615.31-616.31] 不是全身的生活性
[616.31-617.21] 好 兩個氣質
[617.21-618.47] 真的要不煮完一間單
[618.47-619.91] 然後你也是不是
[619.91-621.51] 全身生活性
[621.51-624.31] B 確實是明滴滴滴滴滴
[625.31-626.19] 你等於
[626.19-626.89] 你接嗎
[626.89-627.91] 你不要知道
[629.59-631.01] 你剛剛不是說
[631.01-632.71] 全身生活性的爸爸
[632.71-634.91] S 等你要三個性的滴滴
[634.91-636.81] 你要滴滴滴
[636.93-638.85] 你你怎麼脆脆
[639.53-640.57] 知道我的毛在
[640.57-641.57] 是不是我的毛在
[642.57-643.57] 不像對不對
[643.57-644.85] 哎 講
[645.37-646.65] 哎呀 不是這人呀好嗎
[646.65-647.85] 別人狗別
[647.85-649.31] 我也去在皮疙瘩
[649.31-651.07] 說脆脆脆 沒想到
[652.05-653.49] 然後我連鞋會看穿的
[653.49-654.29] 不穿的
[654.29-655.37] 你先
[658.21-659.89] 不是 一個吹你都還沒看穿啊
[661.09-662.09] 來來吧
[662.49-663.89] 吃不別的嘴巴
[663.89-664.53] 不是不是
[664.53-665.41] 你跟他不用吹的
[665.41-666.57] 你都沒那個嘴巴
[666.57-668.45] 皮疙瘩 皮疙瘩 皮疙瘩
[669.09-669.89] 等一下是不是
[669.89-670.89] H 是不是
[670.89-671.89] H 是不是
[671.89-672.89] 你跟他
[672.89-673.81] 等你
[673.81-674.89] H 是不是
[674.89-675.33] 你跟他
[675.33-676.37] 我跟他
[676.37-677.33] 我跟他
[677.33-678.17] 我真的
[678.17-678.61] 好
[678.61-679.57] 我跟他
[679.57-680.77] 不是
[680.77-682.09] 我跟他
[682.09-682.97] 不是
[686.33-687.41] 我跟他
[687.41-688.77] 你沒有
[688.77-689.73] 我
[689.73-690.35] 對啊
[690.35-691.45] 我跟他
[691.45-692.41] 我沒有
[692.41-693.17] 是
[693.17-693.97] 我跟他
[695.97-696.69] 他不敢穿
[696.69-697.45] 你沒有穿
[697.45-699.09] 也是明明允許聖
[701.17-704.43] 哦?你幟哥趕緊坐
[704.67-707.09] 所以我妳也還把你駕著
[708.51-712.33] 哦?我只用ㄏ vowel
[713.37-715.37] 那是幟哥 vowel的字
[716.01-718.15] 我比較 apology
[718.45-719.95] 耻嗻噉噉 somewhere
[721.45-722.67] 我會räㄏ啉
[723.11-723.67] 你是耻嗻?
[726.17-726.87] 噉!!!
[726.87-728.87] 你先坐在
[728.87-730.87] 皮身體
[730.87-732.87] 脫一些
[732.87-734.87] 你看你的皮身中的腿下
[734.87-735.87] 你接不
[736.87-739.87] 哦你先坐皮身體脫一些
[739.87-741.87] 沒有個爛爛
[741.87-743.87] 是不是說就笑著
[743.87-746.87] 雙方都會脫一樣的
[746.87-748.87] 對不對
[748.87-749.87] 哪個爛
[749.87-751.87] 哪個爛
[752.87-754.87] 哎
[754.87-756.87] 搞什麼
[756.87-761.79] 你看你才能先疲勒
[761.79-763.79] 你先坐到
[763.79-764.79] 你先坐到
[764.79-766.79] 你很快就要
[766.79-768.79] 你好人
[768.79-770.79] 剛好你對
[770.79-771.79] 不要看
[771.79-774.79] 我脫了你了
[774.79-776.79] 脫了我了
[776.79-778.79] 你怎麼會脫
[778.79-780.79] 你怎麼會脫
[780.79-782.79] 哪個爛爛
[782.79-784.79] 你還說
[784.79-786.79] 你還說
[786.79-788.79] 大概14港元
[788.79-790.79] 還是14港元
[790.79-794.79] 這個是剛才成為的
[794.79-795.79] 是剛才成為的
[795.79-797.79] 是一個剛才成為的
[797.79-801.68] 你沒理錯
[801.68-804.68] 我剛剛聽到
[804.68-806.68] 你剛剛聽到
[806.68-809.68] 我剛剛聽到
[809.68-811.68] 冰冰关系
[811.68-813.68] 什么都是说得很好
[813.68-815.68] 而冰死冰好多吧
[815.68-817.68] 比较的
[817.68-819.68] 冰30个号
[819.68-824.62] 408
[824.62-825.62] 开钢
[825.62-827.62] 330个号
[827.62-829.62] 对不对吗
[829.62-831.62] 是不是这两个是冰死的
[831.62-833.62] 那我说是冰死
[833.62-835.62] 我说冰死
[835.62-836.62] 一个
[836.62-838.62] 所以说哪个是冰死的
[838.62-840.62] 哪个330个号
[840.62-841.62] 我说冰死
[841.62-842.62] 一个是哪对吧
[842.62-843.62] 那个死是哪
[843.62-844.62] 330个号
[844.62-846.62] 230个号
[846.62-848.62] 230个号
[848.62-850.62] 230个号
[850.62-851.62] 330个号
[851.62-852.62] 230死
[852.62-853.62] 是不是说了
[853.62-854.62] O
[854.62-856.62] H 真正有H
[856.62-863.26] 小时候说不来了
[863.26-865.26] 冰冰关系
[865.26-867.26] 小时候拉进了冰冰
[867.26-868.26] 对吧
[868.26-869.26] 那15分钟
[869.26-870.26] 3分之死
[870.26-871.26] 都玩到下
[871.26-873.26] 3分之死了
[874.26-876.26] 3分之死
[876.26-877.26] 冰冰
[877.26-880.54] 冰死2分个号
[880.54-881.54] 3分之
[881.54-882.54] 8分个号
[882.54-883.54] 230个
[883.54-884.54] 10分个号
[884.54-887.36] 230
[887.36-888.36] 你小伙子剪冰
[888.36-889.36] 230
[889.36-891.36] 应该
[891.36-893.36] 看到没有
[893.36-896.84] 2分个号
[896.84-898.84] 谁电视电视
[898.84-902.88] 在最近的电视
[902.88-906.26] 都没有问题
[906.26-907.26] 你一个都把低拍来
[907.26-913.61] 你跟我说第一次对你
[913.61-914.61] 说得
[914.61-916.46] 对
[916.46-916.96] 对
[916.96-917.96] 要跟着浪质是火力
[917.96-927.66] 学校
[927.66-929.66] 够了
[929.66-930.66] 两二十六
[930.66-931.66] 三千一
[931.66-932.66] 二十六
[932.66-933.66] 好
[933.66-936.29] 下一
[936.29-938.99] 第三点
[938.99-939.99] 涂都不够
[939.99-944.76] 够了
[944.76-952.32] 四千吧
[952.32-954.32] 你贴很多猪猪
[954.32-955.32] 三千吧
[955.32-981.16] 涂把你的猪
[981.16-982.16] 玩一封贴
[985.16-1026.64] 是最消失
[1026.64-1027.64] 三 最大
[1027.64-1029.64] 二十一
[1029.64-1035.99] 最消毒是
[1035.99-1038.49] 在
[1038.49-1039.49] 最消毒是
[1039.49-1042.06] 在哪
[1042.06-1043.06] AEPS
[1043.06-1045.06] 你看一下
[1045.06-1046.06] 你这是什么事吗
[1047.06-1049.06] 对吧
[1049.06-1051.06] 就跟着点
[1051.06-1052.06] 防止
[1052.06-1054.06] 刚刚是11
[1055.06-1056.06] 刚刚是11
[1056.06-1057.06] 可不错
[1057.06-1059.06] 演一笔
[1059.06-1061.06] 刚刚是11生吧
[1061.06-1063.06] 才是多少了吗
[1063.06-1065.06] 我自己去高刀
[1065.06-1067.06] 从后而
[1067.06-1070.40] 是不是就是刚刚是11吗
[1070.40-1073.52] 啊
[1073.52-1074.52] 我没没有
[1075.52-1076.52] 我要吃
[1076.52-1077.52] 我真的不好吃
[1077.52-1078.52] 然后我
[1078.52-1079.52] 你一个人
[1079.52-1080.52] 也就要显示
[1080.52-1081.52] 那个是一个
[1081.52-1082.52] 那个
[1082.52-1083.52] 我们刚才说的
[1083.52-1084.52] 停止显示
[1084.52-1085.52] 是不是
[1085.52-1086.52] 应该是一个
[1086.52-1088.52] 运追
[1088.52-1089.52] 是个人
[1089.52-1091.52] 你怎么知道
[1091.52-1093.52] 你这个死分自己
[1093.52-1094.52] 你运追
[1094.52-1099.32] 你运追
[1099.32-1100.32] 你运追
[1100.32-1101.32] 你运追
[1101.32-1102.32] 你运追
[1102.32-1103.32] 你运追
[1103.32-1104.32] 你运追
[1104.32-1107.53] 你运追
[1107.53-1108.53] 他不是可以在哪一边
[1108.53-1109.53] 打相当于是不是
[1109.53-1110.53] 我的时间就是在哪一边
[1110.53-1111.53] 还你接他就懂
[1111.53-1112.53] 我怎么不关系
[1112.53-1113.53] 所以我就是在哪一边
[1113.53-1114.53] 突然什么跟着不关系
[1114.53-1115.53] 哪个三心都懂
[1115.53-1116.53] 哪个三心都懂
[1116.53-1117.53] 哪个三心都懂
[1117.53-1118.53] 哪个三心都懂
[1118.53-1120.53] 可以留下一个人死
[1120.53-1121.53] 也打语
[1121.53-1122.53] 哪个你接不
[1122.53-1123.53] 哪个你接不
[1123.53-1124.53] 我应不打
[1124.53-1128.41] OK
[1129.41-1130.41] 好
[1130.41-1131.41] 老婆
[1132.41-1133.41] 是
[1133.41-1134.41] A
[1134.41-1135.41] B
[1135.41-1136.41] B
[1136.41-1137.41] T
[1137.41-1138.41] 我们还要
[1138.41-1139.41] 我们能不能
[1139.41-1141.41] 能移动
[1141.41-1142.41] 能移动
[1142.41-1144.41] 能1
[1144.41-1146.41] B
[1146.41-1147.41] 經典
[1148.41-1149.69] 君子
[1149.69-1151.45] 君子
[1151.45-1153.45] 君子
[1153.53-1154.37] 君子
[1154.37-1155.53] 君子
[1155.53-1156.41] 君子
[1156.41-1157.05] ifter
[1166.25-1167.25] 你没发现在
[1167.25-1169.25] 对不对
[1169.25-1170.25] 对不对
[1170.25-1171.25] 第一名九位男孩
[1171.25-1172.25] 老闆来来
[1172.25-1174.25] 黎替晋号在
[1174.25-1176.25] 闭面花
[1176.25-1178.25] 那个我们看哪个是不是很好
[1178.25-1180.60] 但这
[1180.60-1181.60] 对吧
[1181.60-1183.60] 老闆连不够举人手
[1183.60-1184.60] 对
[1184.60-1185.60] 对
[1185.60-1186.60] 人手
[1186.60-1187.60] 那个是
[1187.60-1188.60] 三倍刚好
[1188.60-1189.60] 三倍刚好
[1189.60-1190.60] 三倍刚好
[1190.60-1191.60] 三倍刚好
[1191.60-1192.60] 对不对
[1192.60-1194.60] 然后他第一手
[1194.60-1196.60] 第一手
[1196.60-1197.60] 三倍刚好
[1197.60-1199.60] 卫今后
[1199.60-1201.60] 卫今后
[1201.60-1203.14] 对不对
[1205.60-1207.60] 卫今后
[1209.60-1210.60] 对不对
[1210.60-1211.40] 谁说
[1214.60-1216.60] 卫今后
[1216.60-1219.60] 这三倍刚好
[1219.60-1220.60] Da chilestion
[1220.60-1221.60] 卫今后
[1221.60-1223.60] 卫今后
[1223.60-1224.60] 还没见到
[1224.60-1226.60] 那收到
[1226.60-1227.60] 所以我做了
[1227.60-1229.60] 所以我做了粉絲哥
[1229.60-1230.60] 第首歌
[1230.60-1232.60] 三個歌
[1232.60-1234.60] 我做了粉絲哥
[1234.60-1236.60] 我做了粉絲哥
[1236.60-1238.60] 我做了粉絲哥
[1238.60-1240.60] 我做了粉絲哥
[1240.60-1242.60] 我做了粉絲哥
[1242.60-1244.60] 我做了粉絲哥
[1244.60-1247.60] 所以我做了粉絲哥
[1247.60-1249.60] 真的假
[1249.60-1250.60] 看哪個題目如果
[1250.60-1251.60] A 線線不是一條
[1251.60-1252.60] 不是一條
[1252.60-1253.60] 我最喜歡的一條
[1253.60-1254.60] 真的假
[1254.60-1256.20] 我所謂的題目
[1256.20-1257.00] 我所謂的題目
[1257.00-1258.60] 我只看頂尋多
[1258.60-1260.60] 原來我們要罵字
[1260.60-1262.60] 原則
[1262.60-1264.60] 多的
[1264.60-1266.60] 多的
[1266.60-1267.60] 多的
[1267.60-1270.26] 多的
[1270.26-1273.26] 你還可以評一通嗎
[1273.26-1276.26] 阿姨,你還是選三個A 線線
[1276.26-1277.26] 都選第三個嗎
[1277.26-1279.26] 都選第三個
[1279.26-1281.26] 你還是看三個A 線線
[1281.26-1283.26] 你還是看三個A 線線
[1283.26-1285.26] 你還是看三個A 線線
[1285.26-1286.78] 有什麼東西?
[1286.78-1288.62] 有什麼東西?
[1289.52-1291.48] 有幾屁股可以太穩
[1300.48-1303.34] 我們有什麼東西?
[1315.26-1316.26] 有人都在
[1316.26-1317.26] 嗯
[1317.26-1318.26] 啊
[1318.26-1319.26] 啊
[1319.26-1322.64] 一眼
[1322.64-1323.64] 一尾
[1323.64-1324.64] 一尾
[1324.64-1329.19] 一尾
[1329.19-1340.68] 一尾
[1340.68-1346.33] 一尾
[1346.33-1347.33] 只夠提醒啊
[1347.33-1348.33] 必須
[1348.33-1349.33] 一尾
[1349.33-1351.33] 一尾
[1351.33-1353.33] 一尾
[1353.33-1356.84] 他比他還不夠
[1356.84-1358.84] 他比他還不夠
[1358.84-1359.84] 一尾
[1359.84-1360.84] 一尾
[1360.84-1361.84] 一尾
[1361.84-1363.84] 他比他還不夠
[1363.84-1364.84] 一尾
[1364.84-1365.84] 一尾
[1365.84-1366.84] 一尾
[1366.84-1367.84] 一尾
[1367.84-1368.84] 一尾
[1368.84-1369.84] 一尾
[1369.84-1370.84] 一尾
[1370.84-1371.84] 一尾
[1371.84-1372.84] 一尾
[1372.84-1373.84] 一尾
[1373.84-1374.84] 一尾
[1374.84-1375.84] 一尾
[1375.84-1376.84] 一尾
[1376.84-1377.84] 一尾
[1377.84-1378.84] 一尾
[1378.84-1383.10] 一尾
[1383.10-1384.10] 一尾
[1384.10-1385.10] 一尾
[1385.10-1386.10] 一尾
[1386.10-1387.10] 一尾
[1387.10-1388.10] 一尾
[1388.10-1390.10] 一尾
[1390.10-1392.10] 一尾
[1392.10-1394.10] 一尾
[1394.10-1414.52] 一尾
[1414.52-1415.52] 一尾
[1415.52-1416.52] 一尾
[1625.50-1631.78] 对吧
[1631.78-1633.10] 第一万
[1633.10-1638.70] 到12号尝尝这一生
[1638.70-1644.64] 12号尝尝这一生
[1644.64-1646.44] 狗的名字是不是
[1646.44-1647.58] 虽然是二十
[1647.58-1648.98] 12号
[1648.98-1652.00] 12号
[1652.00-1657.72] 1元是一个花盒
[1657.72-1658.98] OK
[1658.98-1660.50] 1元是一个
[1660.50-1661.72] 1元是一皮是二的
[1661.72-1665.35] 没错
[1665.35-1671.70] 二伯对吧
[1671.70-1673.36] 好
[1673.36-1675.52] 我们第一万要诊明
[1675.52-1677.98] 是屁1 确认
[1677.98-1680.16] 为了吹吹的那个
[1680.16-1681.16] 每一件事都有
[1681.16-1684.16] CDC就是证明联系上面在
[1685.16-1687.16] 奖劝对不对
[1687.16-1689.16] 开工堂的时候很高
[1689.16-1692.99] 做睡觉在椰匙睡觉
[1692.99-1700.94] 我睡觉点了
[1700.94-1702.94] 国生不能在那边洗衣的吗
[1702.94-1704.94] 那是天圈的天呐
[1704.94-1708.25] 那时候睡觉是不是
[1708.25-1710.25] 那个ES嘛
[1710.25-1711.25] 对吧
[1711.25-1712.25] 睡觉要在
[1712.25-1714.25] 整ES睡觉就要在
[1714.25-1715.25] 老师妈
[1715.25-1716.25] 什么意思
[1716.25-1718.25] 这名ES睡觉
[1718.25-1720.25] ES睡觉是第一名
[1720.25-1722.25] 那你去吧
[1722.25-1724.25] 那你去吧
[1724.25-1726.25] 那样子
[1726.25-1728.25] ES睡觉是第一名
[1728.25-1730.95] 那样子
[1730.95-1733.95] ES睡觉是第一名
[1733.95-1734.95] 那样子
[1734.95-1737.95] ES睡觉是第一名
[1737.95-1738.95] 对他
[1738.95-1739.95] 第一名
[1739.95-1742.95] 别看你想睡觉
[1742.95-1744.95] 然后哪个睡觉
[1744.95-1746.95] 睡觉是第一名
[1746.95-1747.95] 那你要的吗
[1747.95-1748.95] 是不是在
[1748.95-1749.95] 一个睡觉
[1749.95-1750.95] 还要在
[1750.95-1752.95] 马上去
[1752.95-1753.95] 睡觉
[1753.95-1754.95] 睡觉
[1754.95-1755.95] CDC
[1755.95-1756.95] 那
[1756.95-1760.96] 再要睡觉
[1760.96-1761.96] 那
[1761.96-1762.96] 第一睡觉
[1762.96-1763.96] 第一睡觉
[1763.96-1764.96] 一个面
[1764.96-1767.31] 对不对
[1767.31-1768.31] 睡觉睡觉
[1768.31-1769.31] 一个睡觉
[1769.31-1770.31] 那个面
[1770.31-1771.31] 所以自己
[1771.31-1772.31] 睡觉
[1772.31-1773.31] 一个睡觉
[1773.31-1774.31] 睡觉的
[1774.31-1775.31] 国生不是
[1775.31-1776.31] 用的是
[1776.31-1777.31] 一个睡觉
[1777.31-1778.31] 一个睡觉
[1778.31-1779.31] 一个睡觉
[1779.31-1781.31] ası
[1781.31-1783.31] 皮色
[1783.31-1785.31] 一个睡觉
[1785.31-1791.15] 玔玔
[1791.15-1797.13] 那应该不是这里
[1797.13-1804.37] 如果你觉得
[1804.37-1805.37] 你最不心没 feelings
[1805.37-1806.37] 你是他
[1806.37-1807.37] 或是
[1807.37-1807.97] 立体
[1807.97-1808.37] 我
[1808.37-1818.37] 所以你
[1818.37-1819.37] 那个冲发出来
[1819.37-1820.37] 对吧
[1821.37-1822.37] 那个冲定的码
[1823.37-1824.37] 那个冲定的颜色
[1824.37-1825.37] 那个NH
[1826.37-1827.37] 是不是
[1827.37-1828.37] 兴趣
[1828.37-1829.37] 第3
[1830.37-1831.37] 现在只需要这名
[1831.37-1832.37] 那个颜色吹嘴
[1832.37-1833.37] 对
[1833.37-1835.37] 低B都是呢
[1836.37-1842.11] 那在不好的车
[1842.11-1843.11] 挖给你啊
[1843.11-1844.11] 可以啊
[1844.11-1846.90] ND的元B
[1846.90-1848.90] ND还是那个元B
[1848.90-1849.90] 吹锁
[1849.90-1850.90] 吹的
[1850.90-1851.90] 吹的
[1851.90-1852.90] 不是B也是吹的
[1852.90-1854.90] 上一个起来的时候
[1854.90-1855.90] 没得没得出
[1855.90-1856.90] 那也是够自够的
[1856.90-1857.90] 也很遗憾我
[1857.90-1858.90] 为他自够说
[1858.90-1859.90] 他觉得B
[1859.90-1860.90] 低按子
[1860.90-1862.90] 是不是对于DB
[1862.90-1864.90] 就是看俩来自过来
[1864.90-1865.90] 就是过分水
[1865.90-1866.90] 看
[1866.90-1867.90] 对吧
[1867.90-1871.50] 上一个起来
[1871.50-1872.50] 所以没得没得出
[1872.50-1873.50] 那是不是
[1873.50-1877.39] 诶
[1877.39-1878.39] 反正说出来的了
[1878.39-1879.39] 啊
[1880.39-1882.39] 这个是不是BB
[1882.39-1883.39] 哪
[1883.39-1885.73] 那是不是
[1885.73-1886.73] 这个是不是
[1886.73-1887.73] 丁好好对吧
[1887.73-1889.73] 所以是B needs对的
[1889.73-1892.56] 丁好好对面
[1892.56-1893.56] 丁好好对面
[1893.56-1894.56] 丁好好对面
[1894.56-1895.56] 对啊
[1895.56-1898.00] 对啊
[1898.00-1899.00] 那是不是
[1899.00-1900.00] 丁好好对面
[1900.00-1902.00] 丁好好对面
[1904.34-1906.34] 丁好好对面
[1907.34-1908.34] 嗯
[1908.34-1909.34] 你看看
[1909.34-1910.34] 这什么
[1910.34-1911.34] 丁好好对面
[1911.34-1913.59] 丁好好对面
[1913.59-1914.59] 嗯
[1915.59-1916.59] 哪个是这个
[1916.59-1917.59] 这个是这个
[1917.59-1920.59] 这个是冲锂的吗
[1920.59-1921.31] 嗯
[1921.31-1923.31] 對吧
[1923.31-1924.31] 嗯
[1924.31-1925.31] 謝謝大家
[1925.31-1927.31] 這算是Y7000也
[1927.31-1929.31] 好說離開
[1931.31-1933.31] 謝謝
[1933.31-1938.35] 發生這樣的
[1938.35-1940.35] 發生的是不是要追墟一個別
[1940.35-1942.35] 那個兩個追墟那個加工
[1942.35-1944.35] 對不對
[1944.35-1946.35] 來加工一個是一頁
[1946.35-1947.35] 一個是一頁
[1947.35-1948.35] 那個稍動
[1948.35-1950.35] 什麼根本會
[1950.35-1952.35] 就根本
[1952.35-1953.35] 對吧
[1953.35-1955.59] 所以他不是,他不是个律师徒
[1955.59-1956.51] 看不来
[1956.51-1957.59] 他才有个
[1957.59-1961.92] 十四五多,所以谁要不选
[1961.92-1964.08] 然后西西要不选面
[1964.08-1965.08] 西
[1965.08-1966.00] 一
[1968.00-1969.00] 你假过
[1970.00-1972.40] 西西要不选面,哪个也假过
[1972.40-1973.52] 看不来
[1973.52-1978.28] 你怎么这么闻,你九十多
[1978.28-1981.56] 哎,你接我
[1981.56-1983.24] 目前住在这儿你接我
[1985.24-1986.04] 哪个
[1987.32-1988.28] 谁也想买
[1989.08-1990.28] 所以想来
[1990.28-1991.28] 后面评论
[1991.28-1992.28] 评论
[1992.28-1993.28] 评论
[1993.28-1994.28] 评论
